"REMIND Source";"REMIND Technology";"REMIND Cooling";"Macknick Source";"Macknick Technology";"Macknick Cooling"
"pegas";"ngcc";"tower";"Natural Gas";"Combined Cycle";"Tower"
"pegas";"ngcc";"once";"Natural Gas";"Combined Cycle";"Once-through"
"pegas";"ngcc";"pond";"Natural Gas";"Combined Cycle";"Pond"
"pegas";"ngcc";"dry";"Natural Gas";"Combined Cycle";"Dry"
"pegas";"ngccc";"tower";"Natural Gas";"Combined Cycle with CCS";"Tower"
"pegas";"ngccc";"once";"-";"-";"-"
"pegas";"ngccc";"pond";"-";"-";"-"
"pegas";"ngccc";"dry";"-";"-";"-"
"pegas";"ngt";"tower";"-";"-";"-"
"pegas";"ngt";"once";"-";"-";"-"
"pegas";"ngt";"pond";"-";"-";"-"
"pegas";"ngt";"dry";"-";"-";"-"
"pegas";"gaschp";"tower";"-";"-";"-"
"pegas";"gaschp";"once";"-";"-";"-"
"pegas";"gaschp";"pond";"-";"-";"-"
"pegas";"gaschp";"dry";"-";"-";"-"
"pecoal";"igcc";"tower";"Coal";"IGCC";"Tower"
"pecoal";"igcc";"once";"-";"-";"-"
"pecoal";"igcc";"pond";"-";"-";"-"
"pecoal";"igcc";"dry";"-";"-";"-"
"pecoal";"igccc";"tower";"Coal";"IGCC with CCS";"Tower"
"pecoal";"igccc";"once";"-";"-";"-"
"pecoal";"igccc";"pond";"-";"-";"-"
"pecoal";"igccc";"dry";"-";"-";"-"
"pecoal";"pc";"tower";"Coal";"Generic";"Tower"
"pecoal";"pc";"once";"Coal";"Generic";"Once-through"
"pecoal";"pc";"pond";"Coal";"Generic";"Pond"
"pecoal";"pc";"dry";"-";"-";"-"
"pecoal";"coalchp";"tower";"-";"-";"-"
"pecoal";"coalchp";"once";"-";"-";"-"
"pecoal";"coalchp";"pond";"-";"-";"-"
"pecoal";"coalchp";"dry";"-";"-";"-"
"peoil";"dot";"tower";"Natural Gas";"Steam";"Tower"
"peoil";"dot";"once";"Natural Gas";"Steam";"Once-through"
"peoil";"dot";"pond";"Natural Gas";"Steam";"Tower"
"peoil";"dot";"dry";"-";"-";"-"
"peur";"tnrs";"tower";"Nuclear";"Generic";"Tower"
"peur";"tnrs";"once";"Nuclear";"Generic";"Once-through"
"peur";"tnrs";"pond";"Nuclear";"Generic";"Pond"
"peur";"tnrs";"dry";"-";"-";"-"
"pebiolc";"biochp";"tower";"-";"-";"-"
"pebiolc";"biochp";"once";"-";"-";"-"
"pebiolc";"biochp";"pond";"-";"-";"-"
"pebiolc";"biochp";"dry";"-";"-";"-"
"pebiolc";"bioigcc";"tower";"Coal";"IGCC";"Tower"
"pebiolc";"bioigcc";"once";"-";"-";"-"
"pebiolc";"bioigcc";"pond";"-";"-";"-"
"pebiolc";"bioigcc";"dry";"-";"-";"-"
"pebiolc";"bioigccc";"tower";"Coal";"IGCC with CCS";"Tower"
"pebiolc";"bioigccc";"once";"-";"-";"-"
"pebiolc";"bioigccc";"pond";"-";"-";"-"
"pebiolc";"bioigccc";"dry";"-";"-";"-"
"pegeo";"geohdr";"tower";"Geothermal";"EGS";"Tower"
"pegeo";"geohdr";"dry";"Geothermal";"EGS";"Dry"
"pegeo";"geohdr";"hybrid";"Geothermal";"EGS";"Hybrid"
"pehyd";"hydro";"default";"Hydropower";"Aggregated in-stream and reservoir";"n/a"
"pewin";"wind";"default";"Wind";"Wind Turbine";"n/a"
"pesol";"spv";"default";"PV";"Utility Scale PV";"n/a"
"pesol";"csp";"tower";"CSP";"Trough";"Tower"
"pesol";"csp";"dry";"CSP";"Trough";"Dry"
"pesol";"csp";"hybrid";"CSP";"Trough";"Hybrid"
