EDGEitems;EDGE_buildings;iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment;weight_convertEDGE;weight_Fedemand
appliances_light_petrol_ue;;;;;uehcb;;;;petrol;1
;;AVGAS;AVBUNK;peoil;seliqfos;refliq;-1;;;
;;AVGAS;DISTLOSS;peoil;seliqfos;refliq;-1;;;
;;AVGAS;ELAUTOE;peoil;seel;dot;1;;;
;;AVGAS;ELMAINE;peoil;seel;dot;1;electricity from gas produced from coal is counted as coal->electricity;;
;;AVGAS;MARBUNK;peoil;seliqfos;refliq;-1;;;
;;AVGAS;NEINTREN;seliqfos;feli_otherInd;tdli_otherInd;0;;;
;;AVGAS;NEOTHER;seliqfos;fehob;tdfoshob;0;;;
;;AVGAS;TFC;peoil;seliqfos;refliq;1;;;
;;BIODIESEL;ELAUTOC;pebiolc;seel;biochp;1;;;
;;BIODIESEL;ELAUTOE;pebiolc;seel;bioigcc;1;;;
;;BIODIESEL;ELMAINC;pebiolc;seel;biochp;1;;;
;;BIODIESEL;ELMAINE;pebiolc;seel;bioigcc;1;;;
;;BIODIESEL;HEAUTOC;pebiolc;sehe;biochp;1;;;
;;BIODIESEL;HEAUTOH;pebiolc;sehe;biohp;1;;;
;;BIODIESEL;HEMAINC;pebiolc;sehe;biochp;1;;;
;;BIODIESEL;HEMAINH;pebiolc;sehe;biohp;1;;;
;;BIODIESEL;NEINTREN;seliqbio;feli_otherInd;tdli_otherInd;0;;;
;;BIODIESEL;NEOTHER;seliqbio;fehob;tdbiohob;0;;;
;;BIODIESEL;TFC;pebioil;seliqbio;biodiesel;1;;;
;;BIOGASES;DISTLOSS;pebiolc;segabio;biogas;-1;;;
;;BIOGASES;ELAUTOC;pebiolc;seel;biochp;1;;;
;;BIOGASES;ELAUTOE;pebiolc;seel;bioigcc;1;;;
;;BIOGASES;ELMAINC;pebiolc;seel;biochp;1;;;
;;BIOGASES;ELMAINE;pebiolc;seel;bioigcc;1;;;
;;BIOGASES;HEAUTOC;pebiolc;sehe;biochp;1;;;
;;BIOGASES;HEAUTOH;pebiolc;sehe;biohp;1;;;
;;BIOGASES;HEMAINC;pebiolc;sehe;biochp;1;;;
;;BIOGASES;HEMAINH;pebiolc;sehe;biohp;1;;;
;;BIOGASES;TFC;pebiolc;segabio;biogas;1;;;
;;BIOGASOL;ELAUTOC;pebiolc;seel;biochp;1;;;
;;BIOGASOL;ELAUTOE;pebiolc;seel;bioigcc;1;;;
;;BIOGASOL;ELMAINC;pebiolc;seel;biochp;1;;;
;;BIOGASOL;ELMAINE;pebiolc;seel;bioigcc;1;;;
;;BIOGASOL;HEAUTOC;pebiolc;sehe;biochp;1;;;
;;BIOGASOL;HEAUTOH;pebiolc;sehe;biohp;1;;;
;;BIOGASOL;HEMAINC;pebiolc;sehe;biochp;1;;;
;;BIOGASOL;HEMAINH;pebiolc;sehe;biohp;1;;;
;;BIOGASOL;NEINTREN;seliqbio;feli_otherInd;tdli_otherInd;0;;;
;;BIOGASOL;NEOTHER;seliqbio;fehob;tdbiohob;0;;;
;;BIOGASOL;TFC;pebios;seliqbio;bioeths;1;;;
;;BITCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
;;BITCOAL;ELAUTOC;pecoal;seel;coalchp;1;;;
;;BITCOAL;ELAUTOE;pecoal;seel;pc;1;;;
;;BITCOAL;ELMAINC;pecoal;seel;coalchp;1;;;
;;BITCOAL;ELMAINE;pecoal;seel;pc;1;;;
;;BITCOAL;HEAUTOC;pecoal;sehe;coalchp;1;;;
;;BITCOAL;HEAUTOH;pecoal;sehe;coalhp;1;;;
;;BITCOAL;HEMAINC;pecoal;sehe;coalchp;1;;;
;;BITCOAL;HEMAINH;pecoal;sehe;coalhp;1;;;
;;BITCOAL;TBLASTFUR;pecoal;sesofos;coaltr;-1;;;
;;BITCOAL;TFC;pecoal;sesofos;coaltr;1;;;
;;BITUMEN;AVBUNK;peoil;seliqfos;refliq;-1;;;
;;BITUMEN;DISTLOSS;peoil;seliqfos;refliq;-1;;;
;;BITUMEN;ELAUTOE;peoil;seel;dot;1;;;
;;BITUMEN;ELMAINE;peoil;seel;dot;1;;;
;;BITUMEN;MARBUNK;peoil;seliqfos;refliq;-1;;;
;;BITUMEN;NEINTREN;seliqfos;feli_otherInd;tdli_otherInd;0;;;
;;BITUMEN;NEOTHER;seliqfos;fehob;tdfoshob;0;;;
;;BITUMEN;NONENUSE;seliqfos;fehoi_cs;tdhoi_cs;1;;;
;;BITUMEN;TFC;peoil;seliqfos;refliq;1;;;
;;BKB;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
;;BKB;ELAUTOC;pecoal;seel;coalchp;1;;;
;;BKB;ELAUTOE;pecoal;seel;pc;1;;;
;;BKB;ELMAINC;pecoal;seel;coalchp;1;;;
;;BKB;ELMAINE;pecoal;seel;pc;1;;;
;;BKB;HEAUTOC;pecoal;sehe;coalchp;1;;;
;;BKB;HEAUTOH;pecoal;sehe;coalhp;1;;;
;;BKB;HEMAINC;pecoal;sehe;coalchp;1;;;
;;BKB;HEMAINH;pecoal;sehe;coalhp;1;;;
;;BKB;TBLASTFUR;pecoal;sesofos;coaltr;-1;;;
;;BKB;TFC;pecoal;sesofos;coaltr;1;;;
;;BLFURGS;EBLASTFUR;pecoal;segafos;coalgas;1;;;
;;BLFURGS;ECOKEOVS;pecoal;segafos;coalgas;1;;;
;;BLFURGS;ELAUTOC;pecoal;seel;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;ELAUTOE;pecoal;seel;pc;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;ELMAINC;pecoal;seel;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;ELMAINE;pecoal;seel;pc;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;HEAUTOC;pecoal;sehe;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;HEAUTOH;pecoal;sehe;coalhp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;HEMAINC;pecoal;sehe;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;HEMAINH;pecoal;sehe;coalhp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;BLFURGS;TBLASTFUR;pecoal;segafos;coalgas;1;;;
;;BLFURGS;TFC;sesofos;feso_otherInd;tdso_otherInd;0;the solids demand from TBLASTFUR TGASWKS TCOKEOVS producing gas for TFC is attributed to coalgas;;
;;BROWN;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
;;BROWN;ELAUTOC;pecoal;seel;coalchp;1;;;
;;BROWN;ELAUTOE;pecoal;seel;pc;1;;;
;;BROWN;ELMAINC;pecoal;seel;coalchp;1;;;
;;BROWN;ELMAINE;pecoal;seel;pc;1;;;
;;BROWN;HEAUTOC;pecoal;sehe;coalchp;1;;;
;;BROWN;HEAUTOH;pecoal;sehe;coalhp;1;;;
;;BROWN;HEMAINC;pecoal;sehe;coalchp;1;;;
;;BROWN;HEMAINH;pecoal;sehe;coalhp;1;;;
;;BROWN;TBLASTFUR;pecoal;sesofos;coaltr;-1;;;
;;BROWN;TFC;pecoal;sesofos;coaltr;1;;;
;;CHARCOAL;DISTLOSS;pebiolc;sesobio;biotr;-1;;;
;;CHARCOAL;ENONSPEC;pebiolc;sesobio;biotr;-1;;;
;;CHARCOAL;TFC;pebiolc;sesobio;biotr;1;;;
;;COALTAR;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
;;COALTAR;ELAUTOC;pecoal;seel;coalchp;1;;;
;;COALTAR;ELAUTOE;pecoal;seel;pc;1;;;
;;COALTAR;ELMAINC;pecoal;seel;coalchp;1;;;
;;COALTAR;ELMAINE;pecoal;seel;pc;1;;;
;;COALTAR;HEAUTOC;pecoal;sehe;coalchp;1;;;
;;COALTAR;HEAUTOH;pecoal;sehe;coalhp;1;;;
;;COALTAR;HEMAINC;pecoal;sehe;coalchp;1;;;
;;COALTAR;HEMAINH;pecoal;sehe;coalhp;1;;;
;;COALTAR;NEINTREN;seliqfos;feli_otherInd;tdli_otherInd;0;;;
;;COALTAR;NEOTHER;seliqfos;fehob;tdfoshob;0;;;
;;COALTAR;TBLASTFUR;pecoal;sesofos;coaltr;-1;;;
;;COALTAR;TFC;pecoal;sesofos;coaltr;1;;;
;;COKCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;;;
;;COKCOAL;ELAUTOC;pecoal;seel;coalchp;1;;;
;;COKCOAL;ELAUTOE;pecoal;seel;pc;1;;;
;;COKCOAL;ELMAINC;pecoal;seel;coalchp;1;;;
;;COKCOAL;ELMAINE;pecoal;seel;pc;1;;;
;;COKCOAL;HEAUTOC;pecoal;sehe;coalchp;1;;;
;;COKCOAL;HEAUTOH;pecoal;sehe;coalhp;1;;;
;;COKCOAL;HEMAINC;pecoal;sehe;coalchp;1;;;
;;COKCOAL;HEMAINH;pecoal;sehe;coalhp;1;;;
;;COKCOAL;TBLASTFUR;pecoal;sesofos;coaltr;-1;;;
;;COKCOAL;TFC;pecoal;sesofos;coaltr;1;;;
;;COKEOVGS;EBLASTFUR;pecoal;segafos;coalgas;1;;;
;;COKEOVGS;ECOKEOVS;pecoal;segafos;coalgas;1;;;
;;COKEOVGS;ELAUTOC;pecoal;seel;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;ELAUTOE;pecoal;seel;pc;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;ELMAINC;pecoal;seel;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;ELMAINE;pecoal;seel;pc;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;HEAUTOC;pecoal;sehe;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;HEAUTOH;pecoal;sehe;coalhp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;HEMAINC;pecoal;sehe;coalchp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;HEMAINH;pecoal;sehe;coalhp;1;This seel output in reality is produced from coal gas (see email RP to NB 18.8.2016);;
;;COKEOVGS;TCOKEOVS;pecoal;segafos;coalgas;1;;;
;;COKEOVGS;TFC;sesofos;feso_otherInd;tdso_otherInd;0;the solids demand from TBLASTFUR TGASWKS TCOKEOVS producing gas for TFC is attributed to coalgas;;
cooking_biomod_fe;;;;;fecwsob;;;;biomod;1
cooking_biomod_fe;;;;;fehcsob;;;;biomod;1
cooking_biomod_fe;;;;;fesob;;;;biomod;1
cooking_biomod_fe;;;;;fesos;;;;biomod;1
cooking_biomod_ue;;;;;uecwb;;;;biomod;1
cooking_biomod_ue;;;;;uehcb;;;;biomod;1
cooking_biotrad_fe;;;;;fecwsob;;;;biotrad;1
cooking_biotrad_fe;;;;;fehcsob;;;;biotrad;1
cooking_biotrad_fe;;;;;fesob;;;;biotrad;1
cooking_biotrad_fe;;;;;fesos;;;;biotrad;1
cooking_biotrad_ue;;;;;uecwb;;;;biotrad;1
cooking_biotrad_ue;;;;;uehcb;;;;biotrad;1
cooking_coal_fe;;;;;fecwsob;;;;coal;1
cooking_coal_fe;;;;;fehcsob;;;;coal;1
cooking_coal_fe;;;;;fesob;;;;coal;1
cooking_coal_fe;;;;;fesos;;;;coal;1
cooking_coal_ue;;;;;uecwb;;;;coal;1
cooking_coal_ue;;;;;uehcb;;;;coal;1
cooking_elec_fe;;;;;fecwelb;;;;elec;1
cooking_elec_fe;;;;;fecwhpb;;;;elec;0
cooking_elec_fe;;;;;feelb;;;;elec;1
cooking_elec_fe;;;;;feels;;;;elec;1
cooking_elec_fe;;;;;fehcelb;;;;elec;1
cooking_elec_ue;;;;;uecwb;;;;elec;1
cooking_elec_ue;;;;;uehcb;;;;elec;1
cooking_heat_fe;;;;;fecwheb;;;;heat;1
cooking_heat_fe;;;;;fehcheb;;;;heat;1
cooking_heat_fe;;;;;feheb;;;;heat;1
cooking_heat_fe;;;;;fehes;;;;heat;1
cooking_heat_ue;;;;;uecwb;;;;heat;1
cooking_heat_ue;;;;;uehcb;;;;heat;1
cooking_natgas_fe;;;;;fecwgab;;;;natgas;1
cooking_natgas_fe;;;;;fegab;;;;natgas;1
cooking_natgas_fe;;;;;fegas;;;;natgas;1
cooking_natgas_fe;;;;;fehcgab;;;;natgas;1
cooking_natgas_ue;;;;;uecwb;;;;natgas;1
cooking_natgas_ue;;;;;uehcb;;;;natgas;1
cooking_petrol_fe;;;;;fecwhob;;;;petrol;1
cooking_petrol_fe;;;;;fehchob;;;;petrol;1
cooking_petrol_fe;;;;;fehob;;;;petrol;1
cooking_petrol_ue;;;;;uecwb;;;;petrol;1
cooking_petrol_ue;;;;;uehcb;;;;petrol;1
;;CRNGFEED;AVBUNK;peoil;seliqfos;refliq;-1;;;
;;CRNGFEED;DISTLOSS;peoil;seliqfos;refliq;-1;;;
;;CRNGFEED;ELAUTOE;peoil;seel;dot;1;;;
;;CRNGFEED;ELMAINE;peoil;seel;dot;1;;;
;;CRNGFEED;MARBUNK;peoil;seliqfos;refliq;-1;;;
;;CRNGFEED;NEINTREN;seliqfos;feli_otherInd;tdli_otherInd;0;;;
;;CRNGFEED;NEOTHER;seliqfos;fehob;tdfoshob;0;;;
;;CRNGFEED;TFC;peoil;seliqfos;refliq;1;;;
;;CRUDEOIL;AVBUNK;peoil;seliqfos;refliq;-1;;;
;;CRUDEOIL;DISTLOSS;peoil;seliqfos;refliq;-1;;;
;;CRUDEOIL;ELAUTOE;peoil;seel;dot;1;;;
;;CRUDEOIL;ELMAINE;peoil;seel;dot;1;;;
;;CRUDEOIL;MARBUNK;peoil;seliqfos;refliq;-1;;;
;;CRUDEOIL;NEINTREN;seliqfos;feli_otherInd;tdli_otherInd;0;;;
;;CRUDEOIL;NEOTHER;seliqfos;fehob;tdfoshob;0;;;
;;CRUDEOIL;TFC;peoil;seliqfos;refliq;1;;;
;;ELECTR;EPOWERPLT;seel;feel;o_feel;-1;;;
;;ELECTR;PIPELINE;seel;feelt;tdelt;0;?;;
;;ETHANE;AVBUNK;peoil;seliqfos;refliq;-1;;;
;;ETHANE;DISTLOSS;peoil;seliqfos;refliq;-1;;;
;;ETHANE;ELAUTOE;peoil;seel;dot;1;;;
;;ETHANE;ELMAINE;peoil;seel;dot;1;;;
;;ETHANE;MARBUNK;peoil;seliqfos;refliq;-1;;;
;;ETHANE;NEINTREN;seliqfos;feli_otherInd;tdli_otherInd;0;;;
;;ETHANE;NONENUSE;seliqfos;fehoi_cs;tdhoi_cs;0.8;;;
;;ETHANE;PIPELINE;seliqfos;fedie;dot;0;;;
;;ETHANE;TFC;peoil;seliqfos;refliq;1;;;
feagrelec;;ELECTR;AGRICULT;seel;feelwlth_otherInd;tdelwlth_otherInd;1;;;1
feagrelec;;ELECTR;FISHING;seel;feelwlth_otherInd;tdelwlth_otherInd;1;;;1
feagrgas;;BIOGASES;AGRICULT;segabio;fega_otherInd;tdga_otherInd;1;;;1
feagrgas;;BIOGASES;FISHING;segabio;fega_otherInd;tdga_otherInd;1;;;1
feagrgas;;GASWKSGS;AGRICULT;segafos;fega_otherInd;tdga_otherInd;1;;;1
feagrgas;;GASWKSGS;FISHING;segafos;fega_otherInd;tdga_otherInd;1;;;1
feagrgas;;NATGAS;AGRICULT;segafos;fega_otherInd;tdga_otherInd;1;;;1
feagrgas;;NATGAS;FISHING;segafos;fega_otherInd;tdga_otherInd;1;;;1
feagrheat;;;;;fehes;;;;;1
feagrheat;;GEOTHERM;AGRICULT;seel;feelwlth_otherInd;tdelwlth_otherInd;0.3;;;1
feagrheat;;GEOTHERM;FISHING;seel;feelwlth_otherInd;tdelwlth_otherInd;0.3;;;1
feagrheat;;HEAT;AGRICULT;sehe;fehe_otherInd;tdhe_otherInd;1;;;1
feagrheat;;HEAT;FISHING;sehe;fehe_otherInd;tdhe_otherInd;1;;;1
feagrliquid;;ADDITIVE;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;ADDITIVE;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;AVGAS;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;AVGAS;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;BIODIESEL;AGRICULT;seliqbio;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;BIODIESEL;FISHING;seliqbio;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;BIOGASOL;AGRICULT;seliqbio;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;BIOGASOL;FISHING;seliqbio;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;BITUMEN;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;BITUMEN;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;CRNGFEED;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;CRNGFEED;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;CRUDEOIL;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;CRUDEOIL;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;ETHANE;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;ETHANE;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;JETGAS;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;JETGAS;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;LPG;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;LPG;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;LUBRIC;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;LUBRIC;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NAPHTHA;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NAPHTHA;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NGL;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NGL;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NONBIODIES;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NONBIODIES;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NONBIOGASO;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NONBIOGASO;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NONBIOJETK;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;NONBIOJETK;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;OBIOLIQ;AGRICULT;seliqbio;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;OBIOLIQ;FISHING;seliqbio;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;ONONSPEC;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;ONONSPEC;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;OTHKERO;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;OTHKERO;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;PARWAX;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;PARWAX;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;REFFEEDS;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;REFFEEDS;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;REFINGAS;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;REFINGAS;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;RESFUEL;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;RESFUEL;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;WHITESP;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrliquid;;WHITESP;FISHING;seliqfos;feli_otherInd;tdli_otherInd;1;;;1
feagrsolid;;ANTCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;ANTCOAL;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;BITCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;BITCOAL;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;BKB;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;BKB;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;BROWN;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;BROWN;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;CHARCOAL;AGRICULT;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;CHARCOAL;FISHING;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;COKCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;COKCOAL;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;GASCOKE;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;GASCOKE;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;HARDCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;HARDCOAL;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;INDWASTE;AGRICULT;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;INDWASTE;FISHING;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;LIGNITE;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;LIGNITE;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;MUNWASTEN;AGRICULT;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;MUNWASTEN;FISHING;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;MUNWASTER;AGRICULT;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;MUNWASTER;FISHING;sesobio;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;OILSHALE;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;OILSHALE;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;PATFUEL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;PATFUEL;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;PEAT;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;;;1
feagrsolid;;PEAT;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;;;1
