Country Name;Country code;Region code
Albania;ALB;ALB
Argentina;ARG;ARG
Armenia;ARM;ARM
Australia;AUS;AUS
Austria;AUT;AUT
Azerbaijan;AZE;AZE
Belgium;BEL;BEL
Bangladesh;BGD;BGD
Bulgaria;BGR;BGR
Belarus;BLR;BLR
Bolivia, Plurinational State of;BOL;BOL
Brazil;BRA;BRA
Botswana;BWA;BWA
Canada;CAN;CAN
Chile;CHL;CHL
Switzerland;CHE;CHE
China;CHN;CHN
Colombia;COL;COL
Costa Rica;CRI;CRI
Cyprus;CYP;CYP
Czech Republic;CZE;CZE
Germany;DEU;DEU
Denmark;DNK;DNK
Ecuador;ECU;ECU
Egypt;EGY;EGY
Spain;ESP;ESP
Estonia;EST;EST
Ethiopia;ETH;ETH
Finland;FIN;FIN
France;FRA;FRA
United Kingdom;GBR;GBR
Georgia;GEO;GEO
Greece;GRC;GRC
Guatemala;GTM;GTM
Hong Kong;HKG;HKG
Croatia;HRV;HRV
Hungary;HUN;HUN
Indonesia;IDN;IDN
India;IND;IND
Ireland;IRL;IRL
Iran, Islamic Republic of;IRN;IRN
Italy;ITA;ITA
Japan;JPN;JPN
Kazakhstan;KAZ;KAZ
Kyrgyzstan;KGZ;KGZ
Cambodia;KHM;KHM
Korea, Republic of;KOR;KOR
Lao People's Democratic Republic;LAO;LAO
Sri Lanka;LKA;LKA
Lithuania;LTU;LTU
Luxembourg;LUX;LUX
Latvia;LVA;LVA
Morocco;MAR;MAR
Madagascar;MDG;MDG
Mexico;MEX;MEX
Malta;MLT;MLT
Myanmar;MMR;MMR
Mozambique;MOZ;MOZ
Mauritius;MUS;MUS
Malawi;MWI;MWI
Malaysia;MYS;MYS
Nigeria;NGA;NGA
Nicaragua;NIC;NIC
Netherlands;NLD;NLD
Norway;NOR;NOR
New Zealand;NZL;NZL
Pakistan;PAK;PAK
Panama;PAN;PAN
Peru;PER;PER
Philippines;PHL;PHL
Poland;POL;POL
Portugal;PRT;PRT
Paraguay;PRY;PRY
Romania;ROU;ROU
Russian Federation;RUS;RUS
Senegal;SEN;SEN
Singapore;SGP;SGP
Slovakia;SVK;SVK
Slovenia;SVN;SVN
Sweden;SWE;SWE
Thailand;THA;THA
Tunisia;TUN;TUN
Turkey;TUR;TUR
Taiwan, Province of China;TWN;TWN
Tanzania, United Republic of;TZA;TZA
Uganda;UGA;UGA
Ukraine;UKR;UKR
Uruguay;URY;URY
United States;USA;USA
Venezuela, Bolivarian Republic of;VEN;VEN
Viet Nam;VNM;VNM
Angola;AGO;XAC
Congo, the Democratic Republic of the;COD;XAC
Belize;BLZ;XCA
El Salvador;SLV;XCA
Honduras;HND;XCA
Anguilla;AIA;XCB
Antigua and Barbuda;ATG;XCB
Aruba;ABW;XCB
Bahamas;BHS;XCB
Barbados;BRB;XCB
Cayman Islands;CYM;XCB
Cuba;CUB;XCB
Dominica;DMA;XCB
Dominican Republic;DOM;XCB
Grenada;GRD;XCB
Guadeloupe;GLP;XCB
Haiti;HTI;XCB
Jamaica;JAM;XCB
Martinique;MTQ;XCB
Montserrat;MSR;XCB
Puerto Rico;PRI;XCB
Saint Kitts and Nevis;KNA;XCB
Saint Lucia;LCA;XCB
Saint Vincent and the Grenadines;VCT;XCB
Trinidad and Tobago;TTO;XCB
Turks and Caicos Islands;TCA;XCB
Virgin Islands, British;VGB;XCB
Virgin Islands, U.S.;VIR;XCB
Cameroon;CMR;XCF
Central African Republic;CAF;XCF
Chad;TCD;XCF
Congo;COG;XCF
Equatorial Guinea;GNQ;XCF
Gabon;GAB;XCF
Sao Tome and Principe;STP;XCF
Korea, Democratic People's Republic of;PRK;XEA
Macao;MAC;XEA
Mongolia;MNG;XEA
Burundi;BDI;XEC
Comoros;COM;XEC
Djibouti;DJI;XEC
Eritrea;ERI;XEC
Faroe Islands;FRO;XER
Gibraltar;GIB;XER
Kenya;KEN;XEC
Macedonia, the former Yugoslav Republic of;MKD;XER
Mayotte;MYT;XEC
Monaco;MCO;XER
Montenegro;MNE;XER
Reunion;REU;XEC
Rwanda;RWA;XEC
San Marino;SMR;XER
Serbia;SRB;XER
Seychelles;SYC;XEC
Somalia;SOM;XEC
Sudan;SDN;XEC
Moldova, Republic of;MDA;XEE
Iceland;ISL;XEF
Liechtenstein;LIE;XEF
Andorra;AND;XER
Bosnia and Herzegovina;BIH;XER
Bermuda;BMU;XNA
Greenland;GRL;XNA
Saint Pierre and Miquelon;SPM;XNA
Algeria;DZA;XNF
Libya;LBY;XNF
Cook Islands;COK;XOC
Fiji;FJI;XOC
French Polynesia;PYF;XOC
Guam;GUM;XOC
Kiribati;KIR;XOC
Marshall Islands;MHL;XOC
Micronesia, Federated States of;FSM;XOC
Nauru;NRU;XOC
New Caledonia;NCL;XOC
Niue;NIU;XOC
Norfolk Island;NFK;XOC
Northern Mariana Islands;MNP;XOC
Palau;PLW;XOC
Papua New Guinea;PNG;XOC
Samoa;WSM;XOC
Solomon Islands;SLB;XOC
Tokelau;TKL;XOC
Tonga;TON;XOC
Tuvalu;TUV;XOC
Vanuatu;VUT;XOC
Wallis and Futuna;WLF;XOC
Afghanistan;AFG;XSA
Bhutan;BTN;XSA
Maldives;MDV;XSA
Nepal;NPL;XSA
Lesotho;LSO;XSC
Namibia;NAM;XSC
Swaziland;SWZ;XSC
Brunei Darussalam;BRN;XSE
Timor-Leste;TLS;XSE
Falkland Islands (Malvinas);FLK;XSM
French Guiana;GUF;XSM
Guyana;GUY;XSM
Suriname;SUR;XSM
Tajikistan;TJK;XSU
Turkmenistan;TKM;XSU
Uzbekistan;UZB;XSU
Benin;BEN;XWF
Burkina Faso;BFA;XWF
Cape Verde;CPV;XWF
Cote d Ivoire;CIV;XWF
Gambia;GMB;XWF
Ghana;GHA;XWF
Guinea;GIN;XWF
Guinea-Bissau;GNB;XWF
Liberia;LBR;XWF
Mali;MLI;XWF
Mauritania;MRT;XWF
Niger;NER;XWF
Saint Helena, Ascension and Tristan da Cunha;SHN;XWF
Sierra Leone;SLE;XWF
Togo;TGO;XWF
Bahrain;BHR;XWS
Iraq;IRQ;XWS
Israel;ISR;XWS
Jordan;JOR;XWS
Kuwait;KWT;XWS
Lebanon;LBN;XWS
Oman;OMN;XWS
Palestine, State of;PSE;XWS
Qatar;QAT;XWS
Saudi Arabia;SAU;XWS
Syrian Arab Republic;SYR;XWS
United Arab Emirates;ARE;XWS
Yemen;YEM;XWS
South Africa;ZAF;ZAF
Zambia;ZMB;ZMB
Zimbabwe;ZWE;ZWE
Aland Islands;ALA;XEF
American Samoa;ASM;XOC
Bonaire, Sint Eustatius and Saba;BES;XCB
British Indian Ocean Territory;IOT;XSE
Curacao;CUW;XCB
Saint Barthelemy;BLM;XEF
Saint Martin (French part);MAF;XCB
